check_id,title,framework,control_ref,category,severity,status,details,remediation,timestamp,collector,version,run_id,host,tags
SOC2-CC6.4,SSH Protocol Version 2 Only,soc2,CC6.4,Logical Access,HIGH,PASS,Protocol = 2,Set Protocol 2 in /etc/ssh/sshd_config.,2026-02-22T19:55:01.400468Z,ComplianceEvidenceCollector,2.0.0,340F6E5B,black.tximhotep.com,"['ssh', 'iam']"
SOC2-CC6.5,World-Writable Files in /tmp,soc2,CC6.5,Logical Access,MEDIUM,PASS,No world-writable files found in /tmp.,Review and remediate world-writable files. Use sticky bit on shared directories.,2026-02-22T19:55:01.409468Z,ComplianceEvidenceCollector,2.0.0,340F6E5B,black.tximhotep.com,['file-permissions']
SOC2-CC7.2,Listening Network Services Inventory,soc2,CC7.2,System Operations,INFO,PASS,Network listening services captured for review.,Disable unnecessary services and ports per principle of least functionality.,2026-02-22T19:55:01.421739Z,ComplianceEvidenceCollector,2.0.0,340F6E5B,black.tximhotep.com,"['network', 'inventory']"
SOC2-CC8.1,Version Control System (git) Available,soc2,CC8.1,Change Management,MEDIUM,PASS,git found in PATH.,Ensure all infrastructure and application changes are tracked in a version control system.,2026-02-22T19:55:01.422689Z,ComplianceEvidenceCollector,2.0.0,340F6E5B,black.tximhotep.com,"['change-management', 'scm']"
SOC2-CC9.1,Backup Tooling Present,soc2,CC9.1,Risk Mitigation,HIGH,PASS,"Backup tools found: ['rsync', 'aws', 'gsutil']","Implement automated, tested backups and verify restore procedures quarterly.",2026-02-22T19:55:01.451396Z,ComplianceEvidenceCollector,2.0.0,340F6E5B,black.tximhotep.com,"['backup', 'bcp']"
SOC2-A1.1,Disk Usage < 85%,soc2,A1.1,Availability,LOW,PASS,disk_pct = 19.3%,Investigate high disk_pct. Scale resources or archive data.,2026-02-22T19:55:02.452191Z,ComplianceEvidenceCollector,2.0.0,340F6E5B,black.tximhotep.com,"['availability', 'capacity']"
SOC2-A1.2,CPU Usage < 90%,soc2,A1.1,Availability,LOW,PASS,cpu_pct = 4.3%,Investigate high cpu_pct. Scale resources or archive data.,2026-02-22T19:55:02.452504Z,ComplianceEvidenceCollector,2.0.0,340F6E5B,black.tximhotep.com,"['availability', 'capacity']"
SOC2-A1.3,Memory Usage < 90%,soc2,A1.1,Availability,LOW,PASS,mem_pct = 59.5%,Investigate high mem_pct. Scale resources or archive data.,2026-02-22T19:55:02.452721Z,ComplianceEvidenceCollector,2.0.0,340F6E5B,black.tximhotep.com,"['availability', 'capacity']"
SOC2-C1.1,OpenSSL / TLS Tooling Present,soc2,C1.1,Confidentiality,MEDIUM,PASS,openssl found in PATH.,Install openssl and enforce TLS ≥ 1.2 for all data-in-transit.,2026-02-22T19:55:02.453051Z,ComplianceEvidenceCollector,2.0.0,340F6E5B,black.tximhotep.com,"['encryption', 'tls']"
SOC2-C1.2,Disk Encryption Detected (LUKS/dm-crypt),soc2,C1.2,Confidentiality,HIGH,WARN,No LUKS-encrypted volumes detected. Verify encryption at-rest.,Enable LUKS encryption on all volumes containing sensitive data.,2026-02-22T19:55:02.462212Z,ComplianceEvidenceCollector,2.0.0,340F6E5B,black.tximhotep.com,"['encryption', 'data-at-rest']"
